Toronto,2503281
Montreal,1620693
Calgary,988193
Ottawa,812129
Edmonton,730372
Mississauga,668549
Winnipeg,633451
Vancouver,578041
Hamilton,504559
Quebec,491142
Brampton,433806
Surrey,394976
Halifax,372679
Laval,368709
London,352395
Markham,261573
Gatineau,242124
Vaughan,238866
Longueuil,229330
Windsor,216473
Kitchener,204668
Burnaby,202799
Saskatoon,202340
Regina,179246
Richmond,174461
Oakville,165613
Burlington,164415
RichmondHill,162704
GreaterSudbury/GrandSudbury,157857
Sherbrooke,147427
Saguenay,143692
Oshawa,141590
St.Catharines,131989
Levis,130006
Barrie,128430
Trois-Rivières,126323
Abbotsford,123864
Cambridge,120371
Kingston,117207
Guelph,114943
Coquitlam,114565
Whitby,111184
ThunderBay,109140
Saanich,108265
Chatham-Kent,108177
Kelowna,106707
CapeBreton,102250
St.John's,100646
Waterloo,97475
Delta,96723
Terrebonne,94703
Langley,93726
Brantford,90192
Ajax,90167
Pickering,87838
Saint-Jean-sur-Richelieu,87492
RedDeer,82772
NorthVancouver,82562
StrathconaCounty,82511
NiagaraFalls,82184
Kamloops,80376
Nanaimo,78692
Victoria,78057
Clarington,77820
Repentigny,76237
SaultSte.Marie,74948
Peterborough,74898
Lethbridge,74637
KawarthaLakes,74561
Newmarket,74295
Sarnia,71419
Brossard,71154
PrinceGeorge,70981
Chilliwack,69217
MapleRidge,68949
SaintJohn,68043
Drummondville,67392
Moncton,64128
Saint-Jerôme,63729
NorfolkCounty,62563
NewWestminster,58549
St.Albert,57719
Caledon,57050
MedicineHat,56997
HaltonHills,55289
NorthBay,53966
Milton,53939
PortCoquitlam,52687
Shawinigan,51904
Saint-Hyacinthe,51616
WoodBuffalo,51496
Fredericton,50535
Welland,50331
Dollard-DesOrmeaux,48930
Belleville,48821
Granby,47637
Aurora,47629
GrandePrairie,47076
Blainville,46493
Cornwall,45965
HaldimandCounty,45212
NorthVancouver,45165
Timmins,42997
Châteauguay,42786
QuinteWest,42697
Georgina,42346
Rimouski,42240
WestVancouver,42131
Saint-Eustache,42062
Brandon,41511
Victoriaville,40486
Rouyn-Noranda,39924
Salaberry-de-Valleyfield,39672
Boucherville,39062
St.Thomas,36110
Vernon,35944
Woodstock,35480
Mirabel,34626
Mission,34505
Brant,34415
RockyViewNo.44,34171
PrinceAlbert,34138
Sorel-Tracy,34076
Mascouche,33764
Lakeshore,33245
Charlottetown,32174
MooseJaw,32132
Penticton,31909
Côte-Saint-Luc,31395
Innisfil,31175
Val-d'Or,31123
Stratford,30461
Orillia,30259
Pointe-Claire,30161
Alma,29998
FortErie,29925
Saint-Georges,29616
CampbellRiver,29572
ParklandCounty,29265
Sainte-Julie,29079
CentralOkanaganJ,28972
Airdrie,28927
Leamington,28833
NewTecumseth,27701
LaSalle,27652
NorthCowichan,27557
PortMoody,27512
Orangeville,26925
Boisbriand,26483
CentreWellington,26049
Vaudreuil-Dorion,25789
ThetfordMines,25704
Sept-Îles,25514
PrinceEdward,25496
Sainte-Therèse,25224
Lunenburg,25164
MountPearl,24671
Whitchurch-Stouffville,24390
Saint-Bruno-de-Montarville,24388
Tecumseh,24224
BradfordWestGwillimbury,24039
Saint-Constant,23957
Grimsby,23937
Magog,23880
Langley,23606
Chambly,22608
Baie-Comeau,22554
Langford,22459
Kings,Subd.A,22161
ConceptionBaySouth,21966
Brockville,21957
Courtenay,21940
LaPrairie,21763
OwenSound,21753
Amherstburg,21748
Lincoln,21722
Saint-Lambert,21599
Scugog,21439
EastHants,21387
EastGwillimbury,21069
Varennes,20950
Kingsville,20908
Clarence-Rockland,20790
Westmount,20494
Kirkland,20491
Whitehorse,20461
CornerBrook,20083
Essex,20032
Oro-Medonte,20031
Strathroy-Caradoc,19977
FoothillsNo.31,19736
Woolwich,19658
SpruceGrove,19496
King,19487
Colchester,Subd.B,19297
Beaconsfield,19194
Uxbridge,19169
RedDeerCounty,19108
Joliette,19044
Mont-Royal,18933
Beloeil,18927
WhiteRock,18755
Yellowknife,18700
SturgeonCounty,18621
PortColborne,18599
Rivière-du-Loup,18586
Dieppe,18565
Huntsville,18280
Cranbrook,18267
SouthFrontenac,18227
Thorold,18224
Cobourg,18210
Miramichi,18129
Dorval,18088
GrandePrairieCountyNo.1,17970
OakBay,17908
Riverview,17832
PortAlberni,17548
Springwater,17456
Smith-Ennismore-Lakefield,17413
Deux-Montagnes,17402
FortSt.John,17402
Collingwood,17290
Saint-Augustin-de-Desmaures,17281
Okotoks,17145
Wilmot,17097
Saint-Lazare,17016
Leduc,16967
Essa,16901
Esquimalt,16840
L'Assomption,16738
Edmundston,16643
L'Ancienne-Lorette,16516
PortHope,16390
Midland,16300
Sainte-Catherine,16211
Pelham,16155
SalmonArm,16012
Candiac,15947
Lloydminster,15910
CentralSaanich,15745
Mont-Saint-Hilaire,15720
Bracebridge,15652
PittMeadows,15623
Camrose,15620
Saint-Basile-le-Grand,15605
MiddlesexCentre,15589
GreaterNapanee,15400
Quispamsis,15239
Kenora,15177
Loyalist,15062
Yorkton,15038
WasagaBeach,15029
FortSaskatchewan,14957
Squamish,14949
SwiftCurrent,14946
Tillsonburg,14822
Gaspe,14819
Matane,14742
Colwood,14687
Petawawa,14651
St.Clair,14649
Niagara-on-the-Lake,14587
Dolbeau-Mistassini,14546
Summerside,14500
NorthGrenville,14198
Rosemère,14173
Saint-Lin--Laurentides,14159
Clearview,14088
Pembroke,13930
Russell,13883
WestHants,13881
Cochrane,13760
GrandFalls-Windsor,13558
Thompson,13446
WestNipissing/NipissingOuest,13410
Mont-Laurier,13405
Colchester,Subd.C,13312
NorthBattleford,13190
WestLincoln,13167
ThamesCentre,13085
Sainte-Anne-des-Plaines,13001
Springfield,12990
PowellRiver,12957
SouthGlengarry,12880
PrinceRupert,12815
LeducCounty,12730
PortagelaPrairie,12728
CentralElgin,12723
Bathurst,12714
Paradise,12584
Amos,12584
LesÎles-de-la-Madeleine,12560
SouthStormont,12520
Brooks,12498
MountainViewCounty,12391
StonyPlain,12363
NorthPerth,12254
TrentHills,12247
WestGrey,12193
Cowansville,12182
Comox,12136
Lavaltrie,12120
Guelph/Eramosa,12066
PerthEast,12041
Canmore,12039
Kings,Subd.B,12033
Saint-Charles-Borromee,12030
Severn,12030
ColdLake,11991
Brock,11979
Beauharnois,11918
Hanover,11871
Lachute,11832
ClearwaterCounty,11826
LaTuque,11821
Truro,11765
Ingersoll,11760
Granby,11748
MississippiMills,11734
SaugeenShores,11720
Wetaskiwin,11673
Rothesay,11637
Sainte-Marie,11584
ElliotLake,11549
St.Andrews,11359
Montmagny,11353
Terrace,11320
Sidney,11315
Sainte-Marthe-sur-le-Lac,11311
Pincourt,11197
Queens,11177
WellingtonNorth,11175
Kincardine,11173
LambtonShores,11150
Erin,11148
Becancour,11134
NorthDundas,11095
Steinbach,11066
GreaterVancouverA,11050
Gravenhurst,11046
DawsonCreek,10994
Parksville,10993
Hamilton,10972
Meaford,10948
Hawkesbury,10869
Summerland,10828
NorthSaanich,10823
Tiny,10784
WilliamsLake,10744
Lacombe,10742
Chester,10741
TemiskamingShores,10732
HighRiver,10716
Adjala-Tosorontio,10695
TheNation/LaNation,10643
NorthGlengarry,10635
Sainte-Adèle,10634
Roberval,10544
SouthDundas,10535
WetaskiwinCountyNo.10,10535
GeorgianBluffs,10506
Norwich,10481
Saint-Felicien,10477
LacombeCounty,10451
Sainte-Sophie,10355
RideauLakes,10350
Yarmouth,10304
LethbridgeCounty,10302
Brighton,10253
Strathmore,10225
SylvanLake,10208
Elizabethtown-Kitley,10201
BonnyvilleNo.87,10194
Saint-Colomban,10136
Prevost,10132
Mercier,10121
Estevan,10084
Rawdon,10058
YellowheadCounty,10045
MackenzieNo.23,10002
SouthHuron,9982
Gander,9951
L'Île-Perrot,9927
Notre-Dame-de-l'Île-Perrot,9885
Mapleton,9851
Wellesley,9789
Tay,9748
Hinton,9738
St.Clements,9706
Sooke,9704
Sainte-Agathe-des-Monts,9679
Brockton,9641
CapitalF,9640
Lorraine,9613
LakeCountry,9606
Chestermere,9564
Val-des-Monts,9539
LacSte.AnneCounty,9516
Selkirk,9515
Amherst,9505
GreyHighlands,9480
Coldstream,9471
NewGlasgow,9455
CarletonPlace,9453
LeedsandtheThousandIslands,9435
Weyburn,9433
Ramara,9427
Penetanguishene,9354
Quesnel,9326
HuronEast,9310
Saint-Raymond,9273
LaurentianValley,9265
Nelson,9258
Whistler,9248
Coaticook,9204
Saint-Sauveur,9191
Winkler,9106
Tache,9083
NorthDumfries,9063
Pictou,Subd.C,9038
Kitimat,8987
Whitecourt,8971
Beaumont,8961
LaMalbaie,8959
Mont-Tremblant,8892
Moncton,8861
WestPerth,8839
Cavan-Millbrook-NorthMonaghan,8828
Malahide,8828
Clare,8813
SmithsFalls,8777
ViewRoyal,8768
EastSt.Paul,8733
Champlain,8683
Argyle,8656
AlfredandPlantagenet,8654
PonokaCounty,8640
Kapuskasing,8509
Minto,8504
QualicumBeach,8502
OtterburnPark,8464
Sechelt,8454
SouthBrucePeninsula,8415
Oromocto,8402
Saint-Amable,8398
Bois-des-Filion,8383
CormanParkNo.344,8349
KirklandLake,8248
Notre-Dame-des-Prairies,8230
Dryden,8195
WheatlandCounty,8164
Zorra,8125
Kings,Subd.C,8121
Lloydminster,8118
FortFrances,8103
Edson,8098
Digby,7986
Sainte-Julienne,7983
Bridgewater,7944
Drumheller,7932
Cantley,7926
Chandler,7914
Dauphin,7906
Marieville,7904
Renfrew,7846
Nicolet,7827
Farnham,7809
ActonVale,7797
Antigonish,Subd.A,7730
Columbia-ShuswapC,7695
Rockwood,7692
CentralHuron,7641
Taber,7591
South-WestOxford,7589
AthabascaCountyNo.12,7587
HappyValley-GooseBay,7572
StoneMills,7568
Chibougamau,7563
Goderich,7563
CowichanValleyB,7562
Ladysmith,7538
Pont-Rouge,7518
Augusta,7510
Plympton-Wyoming,7506
LaPêche,7477
VermilionRiverCountyNo.24,7467
Comox-StrathconaC,7441
Louiseville,7433
Carignan,7426
Campbellton,7384
EastZorra-Tavistock,7350
LaSarre,7336
Barrington,7331
Delson,7322
Innisfail,7316
Baie-Saint-Paul,7288
Castlegar,7259
Olds,7248
LabradorCity,7240
Trail,7237
Revelstoke,7230
McNab/Braeside,7222
Saint-Hippolyte,7219
Comox-StrathconaB,7219
Southgate,7167
Yarmouth,7162
CamroseCountyNo.22,7160
Arnprior,7158
Blandford-Blenheim,7149
Hanover,7147
Bluewater,7120
Drummond/NorthElmsley,7118
Stratford,7083
Mono,7071
Aylmer,7069
Kenora,Unorganized,7041
BrazeauCounty,7040
NanaimoG,7023
Merritt,6998
Hampstead,6996
Douro-Dummer,6954
Otonabee-SouthMonaghan,6934
WestlockCounty,6910
DraytonValley,6893
RockyMountainHouse,6874
NewellCountyNo.4,6862
Saumarez,6837
BlueMountains,6825
Asbestos,6819
PortagelaPrairie,6793
Rigaud,6780
Morinville,6775
Sainte-Anne-des-Monts,6772
NorthStormont,6769
Port-Cartier,6758
NanaimoA,6751
Arran-Elderslie,6747
NorthMiddlesex,6740
CypressCounty,6729
Bayham,6727
Chelsea,6703
SlaveLake,6703
Banff,6700
Kingsclear,6689
Edwardsburgh/Cardinal,6689
Puslinch,6689
NanaimoF,6680
Plessisville,6677
Brownsburg-Chatham,6664
WhitewaterRegion,6631
St.Marys,6617
Wainfleet,6601
Stephenville,6588
ThunderBay,Unorganized,6585
Ponoka,6576
PortugalCove-St.Philip's,6575
Pointe-Calumet,6574
Morden,6571
Mont-Joli,6568
Huron-Kinloss,6515
Antigonish,Subd.B,6509
MuskokaLakes,6467
Alnwick/Haldimand,6435
BeaubassinEast/Beaubassin-est,6429
Pictou,Subd.A,6412
Chatsworth,6392
Beckwith,6387
Stanley,6367
LakelandCounty,6365
Dundas,6356
PeaceRiverC,6350
Coteau-du-Lac,6346
Annapolis,Subd.A,6342
PeaceRiver,6315
Beresford,6301
Torbay,6281
Taber,6280
Amqui,6261
Devon,6256
Beauceville,6226
Hope,6185
Iqaluit,6184
Coaldale,6177
Alnwick,6152
Kimberley,6139
Saint-Remi,6136
Pictou,Subd.B,6103
Lac-Beauport,6081
Bromont,6049
Lac-Megantic,5967
Cramahe,5950
Shefford,5941
SouthBruce,5939
St.PaulCountyNo.19,5925
Okanagan-SimilkameenD,5913
Perth,5907
SouthwestMiddlesex,5890
Stoneham-et-Tewkesbury,5866
EastKootenayC,5866
Inverness,Subd.A,5859
CaribooA,5859
BarrheadCountyNo.11,5845
Bonnyville,5832
ParrySound,5818
Kentville,5815
BigLakes,5805
Gimli,5797
Douglas,5774
Lincoln,5764
OliverPaipoonge,5757
Saint-Felix-de-Valois,5755
CrowsnestPass,5749
PeaceRiverD,5749
LesCèdres,5732
Algoma,Unorganized,NorthPart,5717
Saint-Calixte,5687
Contrecoeur,5678
BeaverCounty,5676
Macdonald,5653
GrandFalls/Grand-Sault,5650
TayValley,5634
Lac-Brome,5629
Hearst,5620
Tweed,5614
Charlemagne,5594
FlinFlon,5594
ThePas,5589
Princeville,5571
Donnacona,5564
MindenHills,5556
PeaceRiverB,5538
DysartandOthers,5526
Cumberland,Subd.C,5525
Vegreville,5519
Kings,Subd.D,5499
Shediac,5497
Cochrane,5487
GreenviewNo.16,5464
NanaimoE,5462
Marystown,5436
Wainwright,5426
Stettler,5418
BayRoberts,5414
Sackville,5411
Ashfield-Colborne-Wawanosh,5409
Saint-Lambert-de-Lauzon,5401
Shippagan,5370
Inverness,Subd.B,5369
WestElgin,5349
WillowCreekNo.26,5337
Espanola,5314
Bulkley-NechakoA,5290
Boischatel,5287
Gananoque,5285
Galway-CavendishandHarvey,5284
Clarenville,5274
Saint-Zotique,5251
Verchères,5243
Windsor,5239
Pontiac,5238
McMasterville,5234
Petrolia,5222
KneehillCounty,5218
Smithers,5217
StettlerCountyNo.6,5216
Richelieu,5208
Sainte-Anne-de-Bellevue,5197
Melfort,5192
Montreal-Ouest,5184
SiouxLookout,5183
LanarkHighlands,5180
Tsinstikeptum9,5171
Saint-Cesaire,5151
Shelburne,5149
Bathurst,5144
Notre-Dame-du-Mont-Carmel,5131
Saint-Philippe,5121
Woodstock,5113
Saint-Pie,5109
St.Paul,5106
CapitalG,5101
Redcliff,5096
Hudson,5088
Annapolis,Subd.C,5085
Ritchot,5051
Sainte-Catherine-de-la-Jacques-Cartier,5021
Burton,5019
NorthHuron,5015
Westlock,5008
Chertsey,5006
Cookshire-Eaton,5004
